5
Слово;Тип;Тип;Тип;Вывод
богинь;local;global;global;Global
ушедших;local;local;local;Local
неземных;local;local;global;Local
святых;local;local;global;Local
понял;local;local;local;Local
подумал;local;dep;local;Local
думал;local;dep;local;Local
осознал;local;dep;local;Local
узнал;local;local;local;Local
понимал;local;local;local;Local
рассказал;local;local;local;Local
почувствовал;local;local;local;Local
увидел;local;local;local;Local
ней;local;local;local;Local
вспоминал;local;local;local;Local
видел;local;local;local;Local
вспомнил;local;local;local;Local
жизнью;local;local;global;Local
кровью;local;global;global;Global
смыслом;local;local;global;Local
любовью;local;local;global;Local
частью;local;local;global;Local
тревожить;local;local;local;Local
единственным;local;local;global;Local
целью;local;local;global;Local
спасением;local;local;global;Local
увлечением;local;local;global;Local
навождением;local;local;global;Local
воображением;local;local;local;Local
наваждением;local;local;local;Local
миром;local;local;global;Local
телом;local;local;global;Local
лучом;local;local;global;Local
другом;local;local;local;Local
братом;local;local;local;Local
болью;local;local;global;Local
мечтой;local;local;local;Local
жизньюстены;local;local;dep;Local
радостью;local;local;local;Local
спутником;local;local;global;Local
плотью;local;global;global;Global
душой;local;local;global;Local
нежным;local;local;global;Local
жизнью;local;dep;global;Local
судьбой;global;local;global;Global
любовью;global;local;global;Global
всем;local;local;global;Local
душой;local;local;global;Local
проницать;local;local;global;Local
неповторимым;local;local;global;Local
погибелью;local;local;global;Local
наградой;local;local;global;Local
страстью;global;local;global;Global
мечтой;global;local;global;Global
плотью;local;global;global;Global
светом;local;local;global;Local
врагом;local;local;global;Local
другом;local;local;global;Local
разумом;local;local;global;Local
мыслями;local;local;global;Local
болезнью;local;local;global;Local
желанием;local;local;global;Local
сердцем;local;local;global;Local
кровью;local;global;global;Global
ангелом;global;local;global;Global
сильным;local;local;global;Local
сильной;local;local;local;Local
силы;local;local;local;Local
невыносимой;local;local;local;Local
мучительной;local;dep;local;Local
острой;local;local;local;Local
страшной;local;local;local;Local
глубокой;local;local;local;Local
нестерпимой;local;local;local;Local
невозможной;local;local;local;Local
ужасной;local;local;local;Local
существует;local;local;local;Local
жуткой;local;local;local;Local
адской;local;local;local;Local
дикой;local;local;local;Local
стену;local;dep;local;Local
стены;local;dep;local;Local
скалы;local;local;local;Local
плиты;local;local;local;Local
камни;local;local;local;Local
шкаф;local;local;local;Local
стол;local;dep;local;Local
жить;local;dep;local;Local
дышать;local;dep;local;Local
себе;local;local;dep;Local
существовать;local;dep;local;Local
простить;local;local;local;Local
решить;local;local;local;Local
спасти;local;local;local;Local
прыгать;local;local;local;Local
успокоится;local;local;local;Local
жить;local;dep;local;Local
умереть;local;global;local;Local
дышать;local;dep;local;Local
существовать;local;dep;local;Local
успокоиться;local;local;local;Local
жить;local;dep;local;Local
простить;local;local;local;Local
спать;local;local;local;Local
полюбить;global;local;local;Local
думать;local;local;local;Local
остановится;local;local;local;Local
беспокойство;local;local;local;Local
удовольствие;local;local;local;Local
неудобство;local;local;local;Local
облегчение;local;local;local;Local
утешение;local;global;local;Local
успокоение;local;local;local;Local
возбуждение;local;local;local;Local
наслаждение;local;local;local;Local
наслождение;local;local;local;Local
удовлетворение;local;local;local;Local
недопонимание;local;local;local;Local
ощущение;local;local;local;Local
спокойствие;local;local;local;Local
горшков;local;dep;local;Local
клумб;local;local;local;Local
ваз;local;local;local;Local
ванн;local;local;local;Local
горшках;local;dep;local;Local
лугов;local;local;local;Local
клубм;local;local;local;Local
горшок;local;dep;local;Local
богам;global;global;global;Global
домашним;local;global;local;Local
верным;local;local;local;Local
друзьям;local;local;local;Local
братьям;local;global;local;Local
многочисленным;local;local;local;Local
фамильным;local;dep;local;Local
божественным;global;local;local;Local
близким;local;local;local;Local
предкам;local;local;local;Local
небесным;local;local;global;Local
преданным;local;local;local;Local
клятвам;local;local;local;Local
покровителям;local;global;local;Local
сердцем;local;local;local;Local
врагам;local;local;local;Local
руками;local;local;local;Local
демонам;local;local;global;Local
любимым;local;local;local;Local
остальным;local;local;local;Local
ближайшим;local;local;local;Local
личным;local;local;local;Local
священным;local;local;local;Local
родственникам;local;global;local;Local
жить;local;dep;local;Local
существовать;local;dep;local;Local
надо;local;local;local;Local
понятно;local;local;local;Local
ходить;local;local;local;Local
жеть;local;local;local;Local
делать;local;local;local;Local
важнее;local;local;local;Local
ночи;local;dep;local;Local
пустоту;local;local;local;Local
существование;local;local;local;Local
мысли;local;local;local;Local
месяцы;local;dep;local;Local
ночь;local;dep;local;Local
часы;local;dep;local;Local
недели;local;dep;local;Local
умереть;local;local;local;Local
отказавшись;local;global;local;Local
только;local;local;local;Local
отделавшись;local;global;local;Local
радуясь;local;local;local;Local
страдая;local;local;local;Local
знобило;local;local;local;Local
переживая;local;local;local;Local
тогда;local;local;local;Local
и;local;local;local;Local
счастливый;local;local;local;Local
отказался;local;global;local;Local
передрягивало;local;local;local;Local
страшно;local;local;local;Local
пугаясь;local;local;local;Local
грустно;local;local;local;Local
желание;local;local;local;Local
сгорая;local;local;local;Local
мозги;local;local;local;Local
но;local;local;dep;Local
мучаясь;local;local;local;Local
содрогнувшись;local;local;local;Local
он;local;local;dep;Local
взбодрясь;local;local;local;Local
раз;local;local;dep;Local
убегая;local;local;local;Local
холодел;local;local;local;Local
тепло;local;local;local;Local
велел;local;dep;local;Local
приказал;local;dep;local;Local
решил;local;dep;local;Local
должен;local;local;local;Local
повелел;local;dep;local;Local
духовной;local;local;local;Local
разрешил;local;local;local;Local
решился;local;local;local;Local
снова;local;local;local;Local
распорядился;local;dep;local;Local
чтобы;local;local;dep;Local
хотел;local;local;local;Local
обязан;local;local;local;Local
больно;local;local;local;Local
готов;local;local;local;Local
помог;local;local;local;Local
как;local;local;dep;Local
заставил;local;local;local;Local
продолжал;local;local;local;Local
думал;local;local;local;Local
начинал;local;local;local;Local
дороге;local;dep;global;Global
пути;local;dep;global;Global
ходу;local;dep;global;Local
своему;local;local;local;Local
обычному;local;local;local;Local
наитию;local;local;local;Local
обстоятельствам;local;local;local;Local
умному;local;local;local;Local
взрослому;local;local;local;Local
линии;local;local;local;Local
пренему;local;local;local;Local
римский;local;local;global;Local
причине;local;local;local;Local
хорошему;local;local;local;Local
ночам;local;local;local;Local
прежнему;local;local;local;Local
причине;local;local;local;Local
утру;local;local;local;Local
обычаю;local;local;local;Local
логике;local;local;local;Local
чему;local;local;local;Local
себе;local;local;local;Local
оружия;local;global;local;Local
яда;local;local;local;Local
письма;local;local;local;Local
охраны;local;local;local;Local
абсурда;local;local;local;Local
орудия;local;global;local;Local
ножа;local;global;local;Local
вещи;local;local;global;Local
оружия;local;global;global;Global
оружие;local;global;global;Global
меч;local;global;global;Global
нож;local;global;global;Global
но;local;local;local;Local
ничего;local;local;local;Local
оружияидеей;dep;global;dep;Dep
которого;local;local;local;Local
взятку;local;local;local;Local
орудие;local;global;global;Global
яда;local;global;global;Global
мыслью;local;dep;local;Local
идеей;local;dep;local;Local
мыслей;local;dep;local;Local
целью;local;dep;local;Local
жаждой;local;local;local;Local
мечтой;local;local;local;Local
идееи;local;dep;local;Local
мыслью;local;dep;local;Local
идей;local;dep;local;Local
встречу;local;global;global;Global
разговор;local;global;global;Global
план;local;local;local;Local
встретиться;local;global;global;Global
поговорить;local;global;global;Global
встретится;local;global;global;Global
взгляд;local;dep;local;Local
общение;local;local;local;Local
цели;local;local;global;Local
встречи;local;global;global;Global
цель;local;local;local;Local
действий;local;local;global;Local
правду;local;dep;local;Local
информацию;local;local;local;Local
все;local;none;local;Local
подробности;local;local;local;Local
новости;local;local;local;Local
тайну;local;local;local;Local
новости;local;local;local;Local
план;none;local;local;Local
поглубже;local;local;local;Local
многое;local;local;local;Local
распорядок;local;local;local;Local
истину;local;dep;local;Local
полезное;local;local;local;Local
нужно;local;local;local;Local
надежда;local;dep;local;Local
мысль;local;local;local;Local
желание;local;local;local;Local
мечта;local;local;local;Local
ярость;local;local;local;Local
идея;local;local;local;Local
жажда;local;local;local;Local
потребность;local;local;local;Local
цель;local;local;local;Local
любовь;global;local;local;Local
ненависть;global;local;local;Local
мысли;local;dep;local;Local
любви;global;local;local;Local
убьет;local;local;local;Local
вернет;local;dep;local;Local
казнит;local;local;local;Local
отпустит;local;local;local;Local
возвратит;local;global;local;Local
убьют;local;local;local;Local
уничтожит;local;local;local;Local
отравит;local;local;local;Local
изнасидовал;local;local;local;Local
увезут;local;local;local;Local
разоблачат;local;local;local;Local
отошлет;local;local;local;Local
казнят;local;local;local;Local
мучает;local;local;local;Local
убъёт;local;local;local;Local
бросит;local;local;local;Local
увидит;local;local;local;Local
предположение;local;dep;global;Local
желание;local;local;local;Local
рассуждение;local;local;global;Local
безумие;local;local;local;Local
факт;local;dep;global;Local
сомнение;local;local;local;Local
непотребство;local;local;local;Local
вздор;local;dep;local;Local
чувство;local;local;global;Local
предложение;local;local;local;Local
событие;local;local;local;Local
хитрый;local;local;local;Local
план;local;dep;local;Local
недоразумение;local;local;local;Local
решение;local;local;local;Local
рассуждение;local;local;global;Local
неразумное;local;local;local;Local
видение;local;local;local;Local
сразу;local;local;local;Local
раньше;local;local;local;Local
давно;local;local;local;Local
вчера;local;global;local;Local
немедленно;local;local;local;Local
давно;local;local;local;Local
сейсас;local;local;local;Local
сегодня;local;local;local;Local
раньше;local;local;local;Local
почтой;local;local;local;Local
незамедлительно;local;local;local;Local
давно;local;local;local;Local
найти;local;local;local;Local
увидеть;local;dep;local;Local
расспросить;local;local;local;Local
предупредить;local;local;local;Local
повидать;local;global;local;Local
слушать;local;local;global;Local
переубедить;local;local;local;Local
раньше;local;local;local;Local
отправить;local;local;local;Local
отыскать;local;local;local;Local
допросить;local;local;local;Local
встретить;local;local;local;Local
спросить;local;local;local;Local
