Пропуск,Слово,Семантическое поле,Количество
25,больно,боль,1
25,готов,глаголы социальных взаимоотношений,1
25,помог,глаголы социальных взаимоотношений,1
25,он не мог ничего кроме как,-,1
25,заставил,глаголы речевой деятельности,1
25,продолжал,глаголы качественного состояния,1
25,думал,глаголы интеллектуальной деятельности,1
25,начинал,глаголы качественного состояния,1
26,дороге,"Пространство, имеющее направление",13
26,пути,"Пространство, имеющее направление",5
26,ходу,"Пространство, имеющее направление",2
26,своему,манера,2
26,обычному,манера,1
26,наитию,манера,1
26,обстоятельствам,причина,1
26,умному,манера,1
26,взрослому,манера,1
26,линии,"Пространство, имеющее направление",1
26,пренему,манера,1
26,римский,характеристика по местоположению,1
26,какой - либо причине,причина,1
26,хорошему,манера,1
26,ночам,время,1
26,прежнему,манера,1
26,какой-либо причине,причина,1
26,утру,время,1
26,обычаю,манера,1
26,логике,манера,1
26,чему,-,1
26,себе,человек,1
27,оружия,Оружие,33
27,яда,Оружие,2
27,письма,текст,1
27,охраны,наименование групп лиц,1
27,абсурда,бессмысленность,1
27,орудия,Оружие,1
27,ножа,Оружие,1
27,той вещи,вещь,1
28,оружия,Оружие,16
28,оружие,Оружие,13
28,меч,Оружие,3
28,нож,Оружие,2
28,но,-,1
28,ничего,Пустота,1
28,оружияидеей,-,1
28,которого,-,1
28,взятку,Материальное ,1
28,орудие,Оружие,1
28,яда,Оружие,1
29,мыслью,Суждение,23
29,идеей,Суждение,11
29,мыслей,Суждение,2
29,целью,Цель,2
29,жаждой,чувство и эмоции,1
29,мечтой,чувство и эмоции,1
29,идееи,Суждение,1
29,единственной мыслью,Суждение,1
29,и той же идей,Суждение,1
30,встретиться,встреча,5
30,встречу,встреча,14
30,разговор,речь,8
30,план,план,5
30,поговорить,глаголы речевой деятельности,3
30,встретится,встреча,1
30,взгляд,восприятие,1
30,свое общение,речь,1
30,цели,цель,1
30,встречи,встреча,1
30,цель,цель,1
30,план действий,план,1
31,правду,правда,12
31,информацию,информация,5
31,все,количество,5
31,подробности,часть,5
31,новости,информация,2
31,тайну,секрет,1
31,последние новости,информация,1
31,план,план,1
31,поглубже,характеристика глубины,1
31,многое,количество,1
31,распорядок,план,1
31,что - либо.,количество,1
31,истину,правда,1
31,что-нибудь полезное,информация,1
31,все что нужно,количество,1
32,надежда,чувства и эмоции,20
32,мысль,суждение,7
32,желание,чувства и эмоции,5
32,мечта,чувства и эмоции,2
32,ярость,чувства и эмоции,2
32,идея,идея,2
32,жажда,чувства и эмоции,1
32,потребность,потребность,1
32,цель,цель,1
32,любовь,чувства и эмоции,1
32,ненависть,чувства и эмоции,1
33,мысли,суждение,43
33,любви,чувства и эмоции,1
34,возвратит ,глаголы передачи объекта,3
34,убьет,глаголы физического воздействия на объект,11
34,вернет,глаголы передачи объекта,6
34,казнит,глаголы физического воздействия на объект,6
34,отпустит,глаголы передачи объекта,5
34,убьют,глаголы физического воздействия на объект,2
34,уничтожит,глаголы физического воздействия на объект,1
34,отравит,глаголы физического воздействия на объект,1
34,изнасидовал,глаголы физического воздействия на объект,1
34,увезут,глаголы перемещения объекта,1
34,разоблачат,глаголы социальных взаимоотношений,1
34,отошлет,глаголы перемещения объекта,1
34,казнят,глаголы физического воздействия на объект,1
34,мучает,глаголы физического воздействия на объект,1
34,убъёт,глаголы физического воздействия на объект,1
34,бросит,глаголы физического воздействия на объект,1
34,увидит,глаголы созерцания,1
35,предположение,суждение,21
35,желание,чувства и эмоции,3
35,рассуждение,суждение,3
35,безумие,чувства и эмоции,2
35,факт,суждение,1
35,сомнение,чувства и эмоции,1
35,непотребство,нормативная оценка,1
35,вздор,нормативная оценка,1
35,чувство,чувства и эмоции,1
35,предложение,суждение,1
35,событие,событие,1
35,хитрый,характер,1
35,план,план,1
35,недоразумение,ситуация,1
35,решение,суждение,1
35,безумное рассуждение,суждение,1
35,как неразумное,-,1
35,видение,созерцание,1
36,вчера,время,5
36,сразу,время,17
36,раньше,время,6
36,давно,время,6
36,немедленно,время,4
36,уже давно,время,2
36,сейсас,время,1
36,сегодня,время,1
36,и раньше,время,1
36,почтой,метод коммуникации,1
36,незамедлительно,время,1
36,очень и очень давно,время,1
37,повидать,глаголы социальных взаимоотношений,2
37,найти,глаголы воздействия на объект,19
37,увидеть,глаголы социальных взаимоотношений,11
37,расспросить,глаголы речевой деятельности,3
37,предупредить,глаголы речевой деятельности,2
37,было слушать,глаголы восприятия,1
37,переубедить,глаголы речевой деятельности,1
37,раньше,время,1
37,отправить,глаголы воздействия на объект,1
37,отыскать,глаголы воздействия на объект,1
37,допросить,глаголы речевой деятельности,1
37,встретить,глаголы социальных взаимоотношений,1
37,спросить,глаголы речевой деятельности,1
