Пропуск,Слово,Семантическое поле,Количество
6,клумбах,Природа и водоем,1
6,кустах,Природа и водоем,1
6,тррпинке,"Пространство, имеющее направление",1
7,публика,Наименования групп лиц,13
7,тень,Свет,4
7,дымка,Погода,3
7,листва,Природа,3
7,толпа,Наименования групп лиц,2
7,она,человек,2
7,картинка,Изображение,1
7,луна,Природа,1
7,парочки,Наименования групп лиц,1
7,листочки,Природа,1
7,клумба,Предметы в парке,1
7,наледь,Погода,1
7,пара,Наименования групп лиц,1
7,компания,Наименования групп лиц,1
7,роса,Погода,1
7,суета,Переполох,1
7,девушка,Человек,1
7,грусть,Эмоции,1
7,машина,Транспорт,1
7,изморозь,Погода,1
7,сырая мгла,Погода,1
7,беседка,Предметы в парке,1
7,газетка,Бумага,1
7,ягода,Природа,1
8,квадрата,Фигура,11
8,парка,Пространство ,6
8,пруда,Природа,5
8,улицы,"Пространство, имеющее направление",2
8,света,свет,2
8,озера,Природа,1
8,картинки,Живопись,1
8,лодки,транспорт,1
8,аллеи,"Пространство, имеющее направление",1
8,кроны,Природа,1
8,ее мало,количество ,1
8,грязь,Грязь,1
8,бульвара,"Пространство, имеющее направление",1
8,никого,отсуствие ,1
8,тропы,"Пространство, имеющее направление",1
8,тень,свет,1
8,перекрёстка,"Пространство, имеющее направление",1
8,не видно,-,1
8,роса,Погода,1
8,неосвещённой улицы,"Пространство, имеющее направление",1
8,скамьи,Предметы в парке,1
8,однако,-,1
8,стола,предмет мебели,1
9,луна,Небесные объекты,38
9,темнота,Свет,2
9,лану,Небесные объекты,1
9,туча,Небесные объекты,1
9,белизна,Цвет,1
9,серость,Цвет,1
9,рябь,Свет,1
9,пустота,Пустота,1
10,золотая,Цвет,10
10,желтая,Цвет,23
10,красная,Цвет,3
10,темная,Цвет,3
10,голубая,Цвет,2
10,черная,Цвет,2
10,темно,Цвет,1
10,прозрачная,Цвет,1
10,кровавая,Цвет,1
11,заметил,Глаголы созерцания,28
11,понял,Глаголы интеллектуальной деятельности,4
11,увидел,Глаголы созерцания,3
11,подумал,Глаголы интеллектуальной деятельности,3
11,догадался,Глаголы интеллектуальной деятельности,2
11,додумалась,Глаголы интеллектуальной деятельности,1
11,узнал,Глаголы интеллектуальной деятельности,1
11,смог,Глаголы деятельности,1
11,успел,Глаголы деятельности,1
11,предусмотрел,Глаголы интеллектуальной деятельности,1
11,знал,Глаголы интеллектуальной деятельности,1
12,рассказ,Речь,15
12,венок,Растения,10
12,букет,Растения,4
12,заговор,,3
12,короб,Хранение,2
12,круг,Фигура,1
12,разговор,Речь,1
12,шарф,Одежда,1
12,сюжет,Речь,1
12,мир,Мир,1
12,клубок,Нить,1
12,узел,Нить,1
12,план,Речь,1
12,аров,-,1
12,свитер,Одежда,1
12,джемпер,Одежда,1
13,вечер,время,19
13,ночь,время,6
13,конец,конец,3
13,готово,конец,2
13,утро,время,1
13,делема,"Проблема, сложность",1
13,полночь,время,1
13,началось,глаголы начала действия,1
13,стемнело,время,1
13,обомлел,Глаголы выражения эмоционального состояния,1
13,осень,время,1
13,финал,конец,1
13,я,человек,1
13,красота,Внешний вид,1
13,осень близко,время,1
13,результат,конец,1
13,проснулся,глаголы изменения качества состояния,1
13,он,человек,1
14,рассказывал ,Глаголы речевой деятельности,12
14,вовсе,-,7
14,был,глаголы бытия,6
14,сделал,глаголы действия,5
14,сплёл,глаголы созидательной деятельности,4
14,говорил,Глаголы речевой деятельности,2
14,волшебник,человек по отношению к магии,1
14,украл,глаголы воздействия на объект,1
14,рассказал,Глаголы речевой деятельности,1
14,а другой,-,1
14,приходил,глаголы однонаправленного движения,1
14,совсем,-,1
14,сумасшедший,психическая характеристика,1
14,это сделал,глаголы действия,1
15,рассказывал,Глаголы речевой деятельности,12
15,это,-,9
15,он,человек,4
15,прав,нормативная оценка,2
15,умный,интеллектуальная характеристика,2
15,этот,-,2
15,не уснул,глаголы состояния,1
15,говорил,Глаголы речевой деятельности,1
15,уважаемый,социальные характеристика,1
15,существовал,глаголы бытия,1
15,сделал,глаголы деятельности,1
15,уснул,глаголы изменения качества состояния,1
15,пришел,глаголы однонаправленного движения,1
15,гениальный,интеллектуальная характеристика,1
15,ученый,интеллектуальная характеристика,1
15,всё это исполнил,глаголы деяятельности,1
15,этот мужчина,человек,1
15,иностранный,характеристика по отношению к месту ,1
15,был,глаголы бытия,1
16,лицо,часть тела,27
16,глаза,часть тела,5
16,незнакомого,характеристика по отношению к месту,2
16,красивого,эстетическая характеристика,1
16,стоявшего,глаголы состояния,1
16,профиль,часть тела,1
16,причудливого,нормативная характеристика,1
16,подошедшего,глаголы однонаправленного движения,1
16,этого,-,1
16,силуэт,часть тела,1
16,повадки,поведение,1
16,морду,часть тела,1
16,подозрительного,нормативная характеристика,1
17,рассказ,речь,18
17,взгляд,Образ человека,3
17,образ,Образ человека,3
17,доклад,речь,2
17,ответ,речь,2
17,довод,речь,1
17,интерес,интерес,1
17,вывод,речь,1
17,подход,метод ,1
17,спутник,человек,1
17,рассказа,речь,1
17,юмор,речь,1
17,собеседник,человек,1
17,сон,состояние,1
17,вопрос,речь,1
17,эксперимент,Метод,1
17,профиль,Образ человека,1
17,вариант,Метод,1
17,опыт,Опыт,1
17,облик,Образ человека,1
17,замысел,речь,1
17,метод,Метод,1
17,голосучениями,-,1
18,рассказами,Текст,13
18,писаниями,Текст,5
18,писанием,Текст,3
18,описаниями,Текст,3
18,заповедями,Правила,2
18,текстами,Текст,2
18,учениями,Текст,2
18,песнопениями,Текст,1
18,пророчествами,Текст,1
18,трактовками,Текст,1
18,образами,Текст,1
18,устоями,Правила,1
18,мировоззрением,Текст,1
18,стихами,Текст,1
18,преданиями,Текст,1
18,понятиями,Текст,1
18,представлением,Текст,1
18,чтениями,Текст,1
18,законами,Правила,1
18,событиями,Текст,1
18,догматами,Правила,1
18,представлениями,Текст,1
19,отозвался,Глаголы речевой деятельности,8
19,сказал,Глаголы речевой деятельности,24
19,ответил,Глаголы речевой деятельности,4
19,промолвил,Глаголы речевой деятельности,1
19,товарищь,Человек,1
19,проговорил,Глаголы речевой деятельности,1
19,воскликнул,Глаголы речевой деятельности,1
19,милый,Эстетическая характеристика,1
19,прошептал,Глаголы речевой деятельности,1
19,отвечал,Глаголы речевой деятельности,1
19,скащал,Глаголы речевой деятельности,1
20,написано,Глаголы письма,27
20,было,Глаголы бытия,4
20,описано,Глаголы письма,3
20,сказано,Глаголы речевой деятельности,3
20,происходит,Глаголы бытия,1
20,упоминается,Глаголы письма,1
20,говорится,Глаголы речевой деятельности,1
20,рассказано,Глаголы речевой деятельности,1
20,записано,Глаголы письма,1
20,прописано,Глаголы письма,1
20,вы прочитали,Глаголы чтения,1
21,источник,Текст,16
21,документ,Текст,12
21,факт,Факт,9
21,учебник,Текст,1
21,подтекст,Текст,1
21,текст,Текст,1
21,труд,Текст,1
21,рассказ,Текст,1
22,осекся ,Глаголы прекращения движения,8
22,удивился,Глаголы выражения эмоционального состояния,5
22,задумался,Глаголы интеллектуалной деятельности,3
22,вздрогнул,Глаголы выражения эмоционального состояния,3
22,замолчал,Глаголы прекращения движения,2
22,улыбнулся,Глаголы выражения эмоционального состояния,2
22,сказал,Глаголы речевой деятельности,2
22,подумал,Глаголы интеллектуалной деятельности,1
22,тоже,-,1
22,очумел,Глаголы выражения эмоционального состояния,1
22,отвернулся,Глаголы прекращения движения,1
22,изумился,Глаголы выражения эмоционального состояния,1
22,умолк,Глаголы речевой деятельности,1
22,ушел,глаголы однонаправленного движения,1
22,смутился,Глаголы выражения эмоционального состояния,1
22,засмеялся,Глаголы выражения эмоционального состояния,1
22,опешил,Глаголы прекращения движения,1
22,одумался,Глаголы интеллектуалной деятельности,1
22,испугался,Глаголы выражения эмоционального состояния,1
22,успокоился,Глаголы выражения эмоционального состояния,1
22,замялся,Глаголы выражения эмоционального состояния,1
22,ужаснулся,Глаголы выражения эмоционального состояния,1
22,согласился,Глаголы речевой деятельности,1
22,насторожился,Глаголы выражения эмоционального состояния,1
22,что-то буркнул,Глаголы речевой деятельности,1
22,кивнул,Глаголы жестов,1
23,идя,глаголы движения,14
23,прогуливаясь,глаголы движения,6
23,гуляя,глаголы движения,5
23,идущему,глаголы движения,2
23,переходя,глаголы движения,2
23,шагая,глаголы движения,2
23,гулявшему,глаголы движения,1
23,ходящим,глаголы движения,1
23,уйти,глаголы однонаправленного движения,1
23,мальчишке,человек,1
23,мужчине,человек,1
23,пошел,глаголы однонаправленного движения,1
23,проходя,глаголы однонаправленного движения,1
23,идем,глаголы движения,1
23,когда,-,1
23,шагая неспеша,глаголы движения,1
23,потому,-,1
23,побрёл,глаголы движения,1
24,подтвердить ,Глаголы речевой деятельности,15
24,доказать,Глаголы речевой деятельности,5
24,утверждать,Глаголы речевой деятельности,4
24,знать,Глаголы интеллектуалной деятельности,3
24,объяснить,Глаголы речевой деятельности,2
24,это,-,2
24,сказать,Глаголы речевой деятельности,2
24,узнать,Глаголы интеллектуалной деятельности,1
24,рассказать,Глаголы речевой деятельности,1
24,опровергнуть,Глаголы речевой деятельности,1
24,ответить,Глаголы речевой деятельности,1
24,помочь,Глаголы социального взаимодействия,1
24,за это поручиться,Глаголы социального взаимодействия,1
24,сделать,глаголы деятельности,1
24,понять,Глаголы интеллектуальной деятельности,1
24,этого,-,1
24,нам помочь,Глаголы социального взаимодействия,1
25,рассказывали,Глаголы речевой деятельности,11
25,рассказали,Глаголы речевой деятельности,11
25,сказали,Глаголы речевой деятельности,4
25,рассказываете,Глаголы речевой деятельности,3
25,поведали,Глаголы речевой деятельности,2
25,говорили,Глаголы речевой деятельности,1
25,пояснили,Глаголы речевой деятельности,1
25,пришли,глаголы однонаправленного движения,1
25,сделали,Глаголы деятельности,1
25,говорите,Глаголы речевой деятельности,1
25,дали,Глаголы взаимодействия,1
25,сообщили,Глаголы речевой деятельности,1
25,показали,Глаголы речевой деятельности,1
25,говорите что,Глаголы речевой деятельности,1
25,заявили,Глаголы речевой деятельности,1
25,наплели,Глаголы речевой деятельности,1
25,непоможете это,-,1
26,подтвердить,Глаголы речевой деятельности,12
26,угодно,человек,19
26,заметил,глаголы созерцания,1
26,-то,человек,1
26,опровергнуть,Глаголы речевой деятельности,1
26,нибудь,человек,1
26,угодно доказать,-,1
26,подтвердилось,Глаголы речевой деятельности,1
26,другой,человек,1
26,сделал,глаголы деятельности,1
26,подтвпрдить,Глаголы речевой деятельности,1
26,кто угодно,человек,1
26,сделать,глаголы деятельности,1
26,услышать,глаголы восприятия,1
26,верит,Глаголы выражения эмоционального состояния,1
26,потвердить,Глаголы речевой деятельности,1
27,ломаным ,особенности выговора,8
27,непонятным,особенности выговора,5
27,ломанным,особенности выговора,4
27,русским,язык,3
27,понятным,особенности выговора,2
27,заплетающимся,особенности выговора,2
27,деловым,особенности выговора,1
27,профессиональным,особенности выговора,1
27,умным,особенности выговора,1
27,коверкающим,особенности выговора,1
27,неизвестным,особенности выговора,1
27,быстрым,особенности выговора,1
27,английским,язык,1
27,человеческим,язык,1
27,тем,-,1
27,тихим,особенности выговора,1
27,странным,особенности выговора,1
27,пересохшим,особенности выговора,1
27,немецким,язык,1
27,библейским,особенности выговора,1
27,доступным,особенности выговора,1
27,бездомный,-,1
27,другим,особенности выговора,1
27,ворочал,Глаголы речевой деятельности,1
28,поманил,глаголы воздействия на объект,9
28,притянул,глаголы воздействия на объект,7
28,подозвал,глаголы речевого воздействия на объект,6
28,позвал,глаголы речевого воздействия на объект,6
28,привлёк,глаголы воздействия на объект,3
28,обнял,глаголы воздействия на объект,2
28,подвинул,глаголы воздействия на объект,2
28,подтянул,глаголы воздействия на объект,2
28,призывая,глаголы речевого воздействия на объект,1
28,замолчал,Глаголы речевой деятельности,1
28,приблизил,глаголы воздействия на объект,1
28,подвел,глаголы воздействия на объект,1
28,пригласил,глаголы речевого воздействия на объект,1
28,манил,глаголы воздействия на объект,1
28,подошол и подозвал,глаголы воздействия на объект,1
29,наклонились,Глаголы движения тела,13
29,подошли,глаголы однонаправленного движения,15
29,придвинулись,Глаголы движения тела,5
29,стояли,глаголы состояния,3
29,прижались,Глаголы движения тела,3
29,приблизились,Глаголы движения тела,2
29,уселись,глаголы изменения состояния,1
29,кто ближе,расстояние,1
30,появлялся,глаголы изменения состояния,38
30,возвращался,глаголы изменения состояния,2
30,возникал вновь,глаголы изменения состояния,1
30,заикался,Глаголы речевой деятельности,1
30,находил,глаголы воздействия на объект,1
31,заговорил,Глаголы речевой деятельности,15
31,сказал,Глаголы речевой деятельности,16
31,произнес,Глаголы речевой деятельности,6
31,продолжил,Глаголы продолжения деятельности,3
31,проговорил,Глаголы речевой деятельности,2
31,протянул,Глаголы речевой деятельности,1
31,промолвил,Глаголы речевой деятельности,1
31,заговорщическим,особенности выговора,1
32,присутствовал,глаголы бытия,31
32,присутстовал,глаголы бытия,2
32,думаю,Глаголы интеллектуальной деятельности,2
32,участвовал,Глаголы социального взаимодействия,2
32,был,глаголы бытия,2
32,виновен,правовая характеристика,1
32,непричастен,правовая характеристика,1
32,уверен,эмотивная характеристика,1
32,присутвствовал,глаголы бытия,1
32,не был,глаголы бытия,1
33,балконе ,место в пространстве,15
33,приеме,мероприятие,5
33,суде,мероприятие,3
33,встрече,мероприятие,2
33,балу,мероприятие,2
33,это,-,2
33,самом деле,-,2
33,днях,время,2
33,учениях,мероприятие,1
33,пиру,мероприятие,1
33,этом,-,1
33,чаепитии,мероприятие,1
33,неделе,время,1
33,обедах,мероприятие,1
33,терассе,место в пространстве,1
33,галгофе,место в пространстве,1
33,свадьбе,мероприятие,1
33,суду,мероприятие,1
34,тайно ,Тайна,15
34,незаметно,возможность увидеть,5
34,был,глаголы бытия,3
34,тихо,характеристика звучания,3
34,незримо,возможность увидеть,2
34,скрытно,Тайна,2
34,анонимно,Тайна,2
34,конечно,уверенность,1
34,вчера,время,1
34,давно,время,1
34,невидимым,возможность увидеть,1
34,тут,место,1
34,один,количество,1
34,так сказать,-,1
34,не кому,человек,1
34,в комнате,место в пространстве,1
34,невидимый,возможность увидеть,1
34,как человек,человек,1
35,секрет,секрет,22
35,молчок,секрет,6
35,порядок,правила,2
35,конец,конец,2
35,мужик,человек,1
35,шухер,-,1
35,штиль,характеристика звучания,1
35,товарищ,человек,1
35,скрет,секрет,1
35,молчок об этом,секрет,1
