4
Слово;Тип;Тип;Тип;Вывод
младых;local;local;dep;Local
17;local;local;local;Local
25;local;local;local;Local
юношеских;local;local;dep;Local
восемнадцати;local;local;local;Local
раних;local;local;dep;Local
девяти;local;local;local;Local
понимающего;local;global;global;Global
знающего;local;global;global;Global
понимая;local;global;dep;Global
подозревая;local;global;dep;Global
то;local;global;local;Local
верящего;local;local;global;Local
думая;local;local;dep;Local
то;local;dep;local;Local
догадываясь;local;local;dep;Local
думавшего;local;local;global;Local
сомневающегося;local;local;global;Local
знать;local;local;global;Local
думать;local;local;global;Local
подозревающего;local;local;global;Local
предполагающего;local;local;global;Local
боящегося;local;local;global;Local
зная;local;local;global;Local
верившего;local;local;global;Local
ведающего;local;local;global;Local
бояться;local;local;dep;Local
знал;local;local;dep;Local
уверенного;local;local;local;Local
смотря;local;local;dep;Local
прикосного;local;local;dep;Local
мысли;local;local;global;Local
признающего;local;local;global;Local
думал;local;dep;dep;Dep
привыкшим;local;local;dep;Local
предполагал;local;local;dep;Local
веря;dep;local;dep;Dep
мудрено;local;local;dep;Local
ожидал;local;local;dep;Local
пугало;local;local;dep;Local
осознавая;local;local;dep;Local
думающего;local;local;global;Local
том;local;dep;local;Local
сознавая;local;local;dep;Local
понимавшего;local;local;global;Local
отказаться;local;global;dep;Local
отказываться;local;global;dep;Local
бежать;local;local;local;Local
убегать;local;local;local;Local
отступиться;local;local;local;Local
зависеть;local;local;local;Local
неизвестного;local;local;local;Local
спасаться;local;local;local;Local
отказатся;local;global;dep;Local
отказаться;local;global;dep;Local
откзаться;local;global;dep;Local
строгая;local;local;local;Local
жесткая;local;local;local;Local
военная;global;global;global;Global
железная;local;local;local;Local
армейская;global;global;global;Global
эта;local;local;local;Local
его;local;global;local;Local
вовремя;local;local;local;Local
своевременная;local;local;local;Local
постоянная;local;local;local;Local
трудовая;local;local;local;Local
что;local;dep;local;Local
жосткая;local;local;local;Local
собственная;local;local;local;Local
плохая;local;local;local;Local
временем;local;local;local;Local
твёрдая;local;local;local;Local
новая;local;local;local;Local
что;local;dep;local;Local
таки;local;local;local;Local
суровая;local;local;local;Local
натренерованная;local;local;local;Local
иногда;local;local;local;Local
неоспоримая;local;local;local;Local
такая;local;local;local;Local
что;local;dep;local;Local
непостоянная;local;local;local;Local
пыл;local;local;local;Local
нрав;local;local;local;Local
желание;local;local;local;Local
своеволие;local;global;global;Global
желания;local;local;local;Local
азарт;local;global;local;Local
характер;local;local;local;Local
похоть;local;global;local;Local
темперамент;local;local;local;Local
тщеславие;local;local;local;Local
потребности;local;local;local;Local
своенравие;local;local;dep;Local
порыв;local;global;local;Local
действия;local;local;local;Local
натуру;local;local;local;Local
нрав;local;local;local;Local
порыв;local;local;local;Local
страхи;local;local;local;Local
ли;local;dep;local;Local
рвение;local;local;local;Local
умыслы;local;local;local;Local
эго;local;local;local;Local
приказ;local;global;dep;Dep
человек;local;local;dep;Local
долг;local;local;local;Local
раз;local;local;local;Local
приказ;local;global;dep;Dep
бред;local;local;local;Local
договор;local;local;local;Local
повереный;local;local;local;Local
указ;local;local;dep;Local
люд;local;local;local;Local
идущий;local;local;local;Local
поступок;local;local;local;Local
порок;local;local;local;Local
время;local;local;local;Local
пребывание;local;global;dep;Global
проживание;local;local;dep;Local
прибывание;local;global;dep;Global
времяпровождение;local;local;dep;Local
прозябание;local;local;local;Local
приказы;local;global;dep;Local
восхождение;local;local;local;Local
молчание;local;local;local;Local
покорение;local;local;local;Local
жизни;local;local;local;Local
доле;local;local;local;Local
работе;local;local;local;Local
покорности;local;global;global;Global
силе;local;local;local;Local
жизне;local;local;local;Local
кабале;local;local;local;Local
судьбе;local;local;local;Local
услужливости;local;local;local;Local
воле;local;local;local;Local
сущности;local;local;local;Local
сиое;local;dep;dep;Dep
послушности;local;local;local;Local
силе;local;local;local;Local
психологии;local;local;local;Local
культуре;local;local;local;Local
зависимости;local;local;local;Local
натуре;local;local;local;Local
преград;local;global;dep;Local
места;local;local;local;Local
предела;local;global;dep;Local
пределов;local;global;dep;Local
препятствий;local;global;dep;Local
границ;local;global;dep;Local
отказа;local;local;local;Local
ограничений;local;global;dep;Local
приград;local;global;dep;Local
оснований;local;local;local;Local
оправданий;local;local;local;Local
времени;none;local;local;Local
удовлетворения;local;local;local;Local
слова;local;local;local;Local
хочу;local;local;local;Local
откпза;local;global;local;Local
запретов;local;global;local;Local
покорение;local;global;global;Global
средств;local;local;local;Local
причин;local;local;local;Local
свобода;local;local;local;Local
невозможного;local;local;local;Local
страдало;local;global;global;Global
было;local;local;local;Local
терпеть;local;local;local;Local
ему;local;global;local;Local
приходилось;local;local;local;Local
задето;local;local;local;Local
исправить;local;local;local;Local
усмирить;local;local;local;Local
обуздать;local;local;local;Local
переживало;local;local;local;Local
ощущалось;local;local;local;Local
усмирить;local;local;local;Local
теряя;local;local;local;Local
задето;local;local;local;Local
пострадало;local;local;global;Local
что;local;dep;local;Local
унять;local;local;local;Local
переносить;local;local;local;Local
переживает;local;local;local;Local
скрипело;local;local;local;Local
обошлось;local;local;local;Local
давалось;local;local;local;Local
нести;local;local;local;Local
осознать;local;local;local;Local
востановить;local;local;local;Local
вспоминать;local;local;local;Local
понимать;local;local;local;Local
сердце;local;local;local;Local
существовании;local;local;local;Local
себе;local;local;local;Local
бегстве;local;global;global;Global
поведении;local;local;local;Local
деле;local;local;local;Local
образе;local;global;local;Local
желании;local;local;local;Local
побеге;local;local;global;Local
центре;local;local;local;Local
характере;local;local;local;Local
уставе;local;local;local;Local
к;local;dep;local;Local
существе;local;local;local;Local
стремлении;local;local;local;Local
уходе;local;local;dep;Local
непреклонном;local;local;local;Local
нежелании;local;local;local;Local
отторжении;local;local;local;Local
лике;local;local;local;Local
чувстве;local;local;local;Local
упертом;local;local;local;Local
начале;local;local;local;Local
духе;dep;local;local;Local
нём;local;global;local;Local
исчезновении;local;global;global;Global
слове;local;local;local;Local
отношении;local;local;local;Local
превосходстве;local;local;local;Local
главном;local;local;local;Local
загадка;local;global;dep;Global
тайна;local;global;dep;Global
странность;local;global;dep;Global
мысль;local;local;none;Local
черта;local;local;local;Local
задача;local;local;local;Local
карма;local;local;local;Local
неясность;local;global;dep;Global
ошибка;local;local;local;Local
надежда;local;local;local;Local
головоломка;local;local;dep;Local
проблема;local;local;local;Local
тоска;local;local;local;Local
особенность;local;local;local;Local
закгадка;local;global;dep;Global
муть;local;local;local;Local
пустота;local;local;local;Local
пелена;local;local;local;Local
магия;local;local;local;Local
ерунда;local;local;local;Local
тайна;local;local;dep;Local
тяжесть;local;local;local;Local
причина;local;local;local;Local
ломал;local;global;local;Local
забивал;local;local;local;Local
внушал;local;local;local;Local
страдал;local;local;local;Local
ломая;local;local;local;Local
разбивал;local;local;local;Local
терзал;local;local;local;Local
истезал;local;local;local;Local
крутил;local;local;local;Local
истязал;local;local;local;Local
правду;local;global;dep;Local
неправду;local;global;local;Local
ему;local;global;local;Local
правду;local;global;local;Local
нет;local;dep;local;Local
то;local;local;local;Local
честно;local;local;local;Local
ей;local;global;local;Local
глупость;local;global;local;Local
все;local;global;local;Local
пора;local;global;local;Local
против;local;local;local;Local
правильно;local;local;local;Local
то;local;global;local;Local
иправду;local;local;local;Local
слово;local;local;local;Local
ЛОЖЬ;local;global;local;Local
безразличен;local;global;dep;Global
нужен;local;local;local;Local
интересен;local;global;local;Local
необходим;local;global;local;Local
готов;local;local;dep;Local
дорог;local;local;local;Local
прав;local;local;local;Local
неприятен;local;local;local;Local
рад;local;local;local;Local
ьезразличен;local;global;dep;Global
подвержен;local;local;local;Local
единственным;local;local;local;Local
обязан;local;local;local;Local
мил;local;global;local;Local
противен;local;global;local;Local
безразличным;local;global;dep;Global
приятелем;local;local;local;Local
равнодушен;local;local;local;Local
дома;local;local;local;Local
никогда;local;local;local;Local
достоин;local;local;local;Local
верен;local;global;local;Local
противным;local;global;local;Local
виновен;local;global;local;Local
правдив;local;local;local;Local
безличным;local;local;local;Local
чужим;local;global;local;Local
любви;local;global;dep;Dep
богатству;local;global;local;Local
обществу;local;global;local;Local
дома;local;local;local;Local
жизни;local;global;local;Local
компании;local;local;local;Local
помощи;local;local;local;Local
богатствам;local;global;local;Local
брата;local;local;local;Local
предложению;local;global;local;Local
опеке;local;global;local;Local
богадства;local;global;local;Local
интересу;local;global;local;Local
семьи;local;global;local;Local
бытия;local;local;local;Local
поддержке;local;local;local;Local
благосклонности;local;local;local;Local
удивляло;local;local;local;Local
заботе;local;local;local;Local
достатку;local;global;local;Local
доброте;local;global;local;Local
деньгам;local;global;local;Local
доброту;local;global;local;Local
особе;local;global;local;Local
любви;local;global;local;Local
ласкам;local;global;global;Global
заботе;local;global;local;Local
самого;local;global;local;Local
покровительству;local;global;local;Local
бедности;local;global;local;Local
положению;local;local;local;Local
души;local;global;local;Local
славе;local;global;local;Local
нежности;local;global;local;Local
жизни;local;global;local;Local
милости;local;global;local;Local
обществу;local;global;local;Local
статусу;local;local;local;Local
заботу;local;local;local;Local
беззаботности;local;global;local;Local
бедный;local;local;local;Local
сфере;local;global;local;Local
уму;local;global;local;Local
компании;local;global;local;Local
знаниям;local;local;local;Local
власти;local;local;local;Local
муки;local;local;local;Local
стусу;local;local;local;Local
защите;local;local;local;Local
никчемность;local;local;local;Local
мучило;local;local;local;Local
успешности;local;local;local;Local
добродушию;local;local;local;Local
содержанию;local;local;local;Local
роскоши;local;local;local;Local
чувствам;local;local;local;Local
богатству;local;local;local;Local
отзывчивость;local;local;local;Local
образу;local;local;local;Local
проблемы;local;local;local;Local
страданиям;local;local;local;Local
роскошном;local;global;global;Global
большом;local;global;local;Local
собственном;local;global;local;Local
богатом;local;global;local;Local
шикарном;local;global;local;Local
одиноком;local;global;local;Local
гостеприимном;local;global;local;Local
бедном;local;local;local;Local
родном;local;global;local;Local
загородном;local;global;local;Local
скромном;local;local;local;Local
раскошном;local;global;global;Global
комфортном;local;global;local;Local
съемном;local;local;local;Local
обустроенном;local;global;local;Local
отчем;local;global;local;Local
родовом;local;local;local;Local
доме;local;local;global;Local
баготом;local;global;local;Local
прекрасном;local;global;local;Local
мрачном;local;global;local;Local
родительском;local;local;local;Local
обветшалом;local;local;local;Local
дорогом;local;local;local;Local
уютном;local;local;local;Local
доме;local;global;global;Global
удивляло;local;local;local;Local
огромном;local;global;local;Local
просторном;local;global;local;Local
радушном;local;global;local;Local
вопрос;local;none;local;Local
мучительный;local;local;local;Local
ворос;local;global;local;Local
понимать;local;local;local;Local
догадываться;local;local;local;Local
вспоминать;local;local;local;Local
ощущать;local;local;dep;Local
подозревать;local;local;local;Local
осознавать;local;local;local;Local
представлять;local;local;local;Local
сомневаться;local;local;local;Local
думать;local;local;local;Local
рассуждать;local;local;local;Local
представлял;local;local;local;Local
припоминать;local;local;local;Local
говорить;local;local;dep;Local
пропасть;local;local;dep;Local
море;local;local;local;Local
океан;local;local;local;Local
яма;local;local;local;Local
чаша;local;local;local;Local
бездна;local;local;local;Local
озеро;local;local;local;Local
овраг;local;local;local;Local
дыра;local;local;local;Local
колодец;local;local;local;Local
пустота;local;local;local;Local
рану;local;local;dep;Local
впадина;local;local;local;Local
мире;local;local;dep;Local
чашу;local;local;local;Local
впадина;local;local;local;Local
ращелина;local;local;local;Local
расщелина;local;local;local;Local
океана;local;local;local;Local
впадина;local;local;local;Local
тьма;local;local;local;Local
ущелье;local;local;local;Local
байкал;local;local;local;Local
любит;global;local;local;Local
потеряет;local;global;dep;Local
ненавидит;local;global;local;Local
понимает;local;global;local;Local
презирает;local;global;local;Local
ненавидел;local;global;local;Local
знает;local;local;local;Local
потерял;local;local;local;Local
любил;global;global;local;Global
непонимает;local;global;local;Local
неприятен;local;local;dep;Local
понимает;local;global;local;Local
любит;global;global;local;Global
теряет;local;none;dep;Local
презирал;local;global;local;Local
понимвл;local;local;local;Local
подменили;local;local;dep;Local
знает;local;local;local;Local
достоин;local;local;local;Local
знает;local;local;local;Local
разлюбил;global;global;local;Global
любит;global;global;local;Global
удержит;local;global;dep;Local
разума;global;local;global;Local
чувств;global;local;local;Local
хладнокровия;global;global;global;Global
сил;local;local;local;Local
уверенности;local;local;local;Local
самообладания;global;local;global;Global
сознания;local;local;local;Local
любви;global;local;local;Local
надежды;local;local;local;Local
доверия;local;local;local;Local
веры;local;local;local;Local
души;local;local;local;Local
злобы;local;local;local;Local
мужества;none;local;local;Local
души;local;local;local;Local
сомнений;global;local;local;Local
слов;local;local;local;Local
ненависти;local;local;local;Local
ревности;local;local;local;Local
нежности;local;local;local;Local
любит;global;global;dep;Global
ли;global;dep;local;Global
что;local;dep;local;Local
поддерживает;local;local;local;Local
почему;local;dep;local;Local
происходит;local;local;local;Local
насколько;local;dep;local;Local
как;local;dep;local;Local
желает;none;local;local;Local
понимал;local;local;dep;Local
знал;local;local;local;Local
думал;local;local;local;Local
может;local;local;local;Local
всего;local;local;local;Local
только;local;local;local;Local
чувствовал;local;local;dep;Local
порой;local;local;local;Local
случалось;local;local;local;Local
делает;local;local;local;Local
потому;local;local;local;Local
помнит;local;local;local;Local
голове;local;local;local;Local
знал;local;local;local;Local
иные;local;local;local;Local
чуствовал;local;local;dep;Local
оставалось;local;local;local;Local
иногда;local;dep;local;Local
делать;local;local;local;Local
знает;local;local;local;Local
знать;local;local;local;Local
отношение;local;local;local;Local
вообразить;local;local;local;Local
любит;local;local;local;Local
найти;global;global;global;Global
любить;global;global;local;Global
видеть;local;local;local;Local
получить;local;local;global;Local
заполучить;local;local;global;Local
удержать;local;local;global;Local
добиться;local;local;local;Local
уважать;local;local;local;Local
простить;local;local;local;Local
оберегать;local;local;local;Local
забыть;local;local;local;Local
терпеть;local;local;local;Local
избегать;local;local;local;Local
отпустить;local;local;local;Local
защитить;local;local;local;Local
понять;local;local;local;Local
остерегаться;local;local;local;Local
увидеть;local;local;local;Local
благотворить;local;local;local;Local
ненавидить;local;local;local;Local
покорить;local;local;local;Local
убить;local;local;local;Local
поработить;local;local;local;Local
охранять;local;local;local;Local
разыскать;global;local;global;Global
воображении;local;global;dep;Global
сне;local;global;dep;Global
видении;local;global;local;Local
разуме;local;global;local;Local
сознании;local;local;dep;Local
этом;local;global;local;Local
отчаянии;local;global;local;Local
представлении;local;global;local;Local
время;local;local;local;Local
уме;local;local;local;Local
доме;local;local;local;Local
сознание;local;local;dep;Local
воображение;local;local;dep;Local
большом;local;local;local;Local
зеркале;local;local;local;Local
родной;local;local;local;Local
сновидении;local;local;dep;Local
чувстве;local;local;local;Local
воспоминании;local;local;dep;Local
окне;local;local;local;Local
общем;local;local;local;Local
одиночества;local;local;local;Local
слышал;local;local;local;Local
помнил;local;local;dep;Local
вспоминал;local;local;dep;Local
ловил;local;local;local;Local
внимал;local;local;local;Local
повторял;local;local;local;Local
понимал;local;local;local;Local
помнит;local;local;dep;Local
слушал;local;local;local;Local
запоминал;local;local;local;Local
проговаривал;local;local;local;Local
запомнил;local;local;dep;Local
чувствовал;local;local;local;Local
знал;local;local;dep;Local
глотал;local;local;local;Local
всоминал;local;local;dep;Local
коже;local;global;local;Local
груди;local;global;dep;Dep
кровати;local;global;local;Local
постели;local;global;local;Local
щеке;local;global;local;Local
шее;local;global;local;Local
подушке;local;global;local;Local
рукой;local;local;local;Local
кросвати;local;global;local;Local
шкуре;local;local;local;Local
своей;local;dep;local;Local
руке;local;global;local;Local
вилле;local;local;local;Local
огонь;local;local;dep;Local
пламя;local;local;dep;Local
пожар;local;local;dep;Local
раньше;local;local;local;Local
вулкан;local;local;local;Local
факел;local;local;local;Local
сухостой;local;local;local;Local
бомба;local;local;local;Local
прежде;local;local;local;Local
искрой;local;local;local;Local
костер;local;local;dep;Local
никогда;local;local;local;Local
казалось;local;local;local;Local
бы;local;dep;local;Local
когда;local;local;local;Local
похоть;local;local;local;Local
дракон;local;local;local;Local
любил;global;global;dep;Global
ждал;global;global;dep;Global
желал;local;global;dep;Global
звал;local;local;local;Local
хотел;local;global;local;Local
вспоминал;global;global;dep;Global
молил;local;global;local;Local
жаждал;local;global;dep;Global
ощущал;local;global;local;Local
боготворил;local;global;local;Local
молча;local;global;local;Local
знал;none;local;local;Local
слышал;local;global;local;Local
искал;global;global;local;Global
обнимал;local;global;local;Local
умолял;local;global;local;Local
тщетно;local;global;local;Local
видел;local;global;local;Local
возжелал;local;global;dep;Global
вожделел;local;global;dep;Global
любим;global;global;global;Global
рядом;local;global;local;Local
одинок;global;global;local;Global
влюблен;global;global;local;Global
ней;global;global;local;Global
рядом;local;global;local;Local
нею;local;global;local;Local
отвергнут;local;global;local;Local
любим;global;global;global;Global
покинут;local;global;local;Local
дурак;local;global;local;Local
власти;local;global;local;Local
близко;local;global;local;Local
царем;local;global;local;Local
настойчив;local;global;local;Local
всемогущ;local;local;local;Local
ней;global;global;local;Global
властен;local;global;local;Local
рядом;local;local;local;Local
настоящий;local;local;local;Local
сильней;local;local;local;Local
желаем;local;global;local;Local
один;global;local;local;Local
рад;local;local;local;Local
недоступен;local;local;local;Local
напористым;local;global;local;Local
жалок;local;global;local;Local
далеко;local;local;local;Local
ею;global;global;global;Global
страсть;local;local;local;Local
тоска;local;local;global;Local
печаль;local;local;global;Local
любовь;global;local;local;Local
грусть;local;local;global;Local
радость;local;local;local;Local
тяга;local;local;local;Local
ней;global;local;local;Local
сила;local;local;local;Local
печать;local;local;local;Local
желание;global;local;local;Local
жаждаГлобальное (Синий)Локальное (Жёлтый)Спорно (Красный);local;local;local;Local
